Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
Tea Pain,"Harris is stealing trainloads of Republican voters from Trump, but Trump isn’t taking any Democrat voters from Harris.",Oct-08,72,471,4.2K
Machine Pun Kelly,"Donald Trump is the real “shadow government,” telling Republicans what to do while negotiating with Putin and Bibi.",Oct-08,25,691,14K
Kyle King,"In case you didn’t know, Trump refers to Obama as “Barack Hussein Obama” because he’s being racist and trying to use his middle name to scare people.",Oct-11,1.1K,1.5K,9.3K
Kitler,"If elected, Trump promises to kick the antisemites out of America. In other news, Jews are running the current administration.",Oct-08,153,529,4.8K
Art Candee 🍿,Why won’t 78-year-old Donald Trump release his medical records? Unacceptable!,Oct-05,172,299,1.1K
TPBlue,I believe the GOP wants Vance—not Trump. What do you think?,Oct-06,1.6K,686,6.3K
Mayo ❤️,"If you’re voting for Donald Trump, you’re an un-American piece of shit.",Oct-07,256,897,4K
Peter Henlein,"As Florida recovers from Hurricane Milton, America is going to see how truly effective a leader Ron DeSantis is.",Oct-10,238,171,1.6K
Sassafrass84,"Hurricane Milton is a Category 5. I’m still voting for Trump. Come hell or high water, I’ll be voting.",Oct-07,290,585,4.8K
Mayo ❤️,Donald Trump killed a million Americans with his mishandling of COVID-19. We now find out he gave COVID tests to a genocidal war criminal. WE ARE NOT GOING BACK. 🇺🇸,Oct-08,78,1.1K,3.5K
Mayo ❤️,"Donald Trump wants to finish ruining America, but we won’t let him. VOTE BLUE. 🇺🇸",Oct-09,38,366,1.4K
HopeyC-Stronger Than You,I’ve blocked so many assholes telling me politics shouldn’t break a marriage. But Donald Trump is not politics. He’s a test on this nation.,Oct-07,115,274,1.5K
Mark R. Mitchell,"If Trump is winning, like our polling and internal polls supposedly suggest...",Oct-05,381,714,6K
Jake Shields,Trump wants war with Iran and Kamala wants borders to stay open. Both pushed for lockdowns and vaccines.,Oct-04,1K,1.4K,8.3K
Plies,"1st Trump lied & told U to fear the Haitians in Springfield, OH. Now he tells U the brown & black folks are to blame for the problems you face.",Oct-06,178,177,1.8K
Secret Agent Number Six,"If you leave ""I HATE DONALD TRUMP"" as a comment on any of my tweets I will retweet as many as I can.",Oct-05,920,71K,1.6K
Bryan Behar,"Our nation is 248 years old. Real question: Has America ever produced a worse person than Donald Trump? I know some of you will name serial killers or mass murderers. Sure. But this racist, insurrectionist cretin is inches away from the White House. Again. Discuss.",Oct-09,114,17K,693
Free,"White women elected Trump, not black men. If Obama got smoke for anybody it should be his mama's ppl but I bet you he wont talk to them like that tho.",Oct-11,1.2K,201K,79K
Matthew Dowd,"All, there has been no fundamental change in the presidential race since the Harris/Trump debate. It remains basically a 3 point national Harris lead. And the swing states are thus not moving in any significant way. All are within a point or two of the national number.",Oct-10,105,28K,986
Harry Sisson,"I just spoke to my Uber driver in Detroit, Michigan, and he told me he’s voting for Kamala Harris. He's originally from Gambia and is a registered Independent. He said he saw how bad dictators were in Africa and warns that Trump wants to do the same. Amazing.",Oct-07,2.4K,271K,3.8K
MAYRA Photography,No foreign enemy attacks America as much as Donald Trump does.,Oct-11,29,6.5K,1K
Travis4Trump,"I got a phone call today from a company doing a political poll in a swing state. When she asked my political affiliation, I said Conservative. Next she asked who I'm voting for. I said Trump and she responded with “you're not voting for anyone, got it.” I said again ""I'm voting for Trump.”",Oct-08,2.3K,671K,31K
Geraldo Rivera,"For all he has done and said that offended, insulted and hurt folks who didn’t deserve it, there is one unforgivable thing that disqualifies Donald Trump from again serving as our president. He has forced, coaxed, manipulated and intimidated tens of millions to become liars who say the election...",Oct-09,9.8K,1.5M,1.2M
Black Insurrectionist,"If Donald Trump is doubled his support in black America, doubled his support in Latino's vote and is also leading the Arab vote, how in the hell does any poll have him losing? This points to a landslide but yet many polls have him losing, the average Harris supporter thinks this is normal.",Oct-08,5.4K,945K,1.3M
Jess Piper,I’m not reading shit from a journalist who knew what was going on in Trump’s White House but saved it to write it down in a book...,Oct-09,2.1K,50K,5.5K
4fuXcake1,Who thinks Trump is a traitor who should be removed from the ballot?,Oct-09,1.1K,12K,359
Pam Keith Esq.,"The news about Trump sharing nuclear secrets with an Australian acquaintance at Mar-a-Lardo is an “of course he did.” Why else would he take the stuff. This is not an indictment of Trump. It’s a fucking outrageous indictment of Merrick Garland, who let it all slide.",Oct-11,48,23K,2.4K
Art Candee,“Donald Trump is a 78 year-old billionaire who hasn’t stopped whining about his problems.” —Former President Obama,Oct-10,22,8.8K,1K
Sundae Gurl,The only diaper Donald Trump has ever changed is his own.,Oct-10,75,8.6K,595
WTFGOP,I’m watching the Weather Channel. Jim Cantore is standing in a flooded parking garage & just said the northern eyewall is hitting Tampa. And they've had 19 tornadoes in Florida touchdown.,Oct-09,61,12K,622
PrezLives2022,"Trump's last few Truth Social posts reflect that of a man who has seen his internal polls and is scared. He is now lashing out like a madman telling the most ridiculous lies. “I WON THE LAST TWO DEBATES, ONE WITH CROOKED JOE, THE OTHER WITH LYIN’ KAMALA,” said Trump. “I ACCEPTED BIDEN'S...”",Oct-09,217,73K,704
KD,"Ryan Walters wants to spend $6 million to put Bibles in public schools. The only Bible that fits his requirements is the Trump Bible. The Bible is free online, as are all the documents in his requirements. The Trump Bibles cost $60 each. AND, THEY ARE MADE IN CHINA.",Oct-09,126,20K,1.7K
Mikel Jollett,"Trump really said criminality is based in genetics: “We’ve got a lot of bad genes in our country right now.” I know he says a lot of crazy shit but this is stone cold, hardcore racism. If you vote for this YOU are a racist.",Oct-09,1.2K,11K,469
Warren Kinsella,"The problem isn’t that Donald Trump is really stupid. The problem is that there are 74,223,975 voting-age Americans who are really stupid.",Oct-11,235,22K,408
CooknColorado,"Today, in Aurora, CO, Donald Trump publicly announced his intention to build concentration camps, in America, if he is elected. He will not stop with rounding up immigrants. We have to stop him.",Oct-11,2.9K,440K,41K
Amy Siskind,"Trump, speaking in Detroit today, said “the whole country will be like Detroit if she ends up being president,” and compared Detroit to a “developing area.” Trump is insane! Why isn't our media demanding cognitive testing of this man?",Oct-10,59,112K,4.7K
WTFGOP,"The Guardian reported that Corey Comperatore, the firefighter who was shot & killed at Trump’s first #Staged Assassination, was ridiculed by Trump at a dinner that someone recorded. “So they’re going to get millions of dollars but the woman, the wife, this beautiful woman, I handed...”",Oct-10,32,13K,1.2K
Still Boneless,"I just realized that when Trump wins, Kamala will be the one to certify the election. And she’ll have no recourse to send back the electors because they changed the law to remove that option from the VP. What a grand finale it will be.",Oct-09,797,946K,32K
Angela Belcamino,I LOVE ELON MUSK I LOVE SPACE X I LOVE TESLA I LOVE TRUMP SIGN UP FOR PREMIUM PLUS,Oct-11,218,74K,790
Julius Kim,"If Trump gets elected, America as we know it will no longer exist. The most patriotic thing ALL people can do is to vote for #KamalaHarris.",Oct-11,139,14K,555
MAYRA Photography,I’m sure that Donald Trump doesn’t even change his own diaper.,Oct-11,72,6.9K,642
Agent Self FBI,Why does the KKK endorse Trump?,Oct-11,103,8.7K,580
Jack Hopkins,“It's Un-American!” —President Biden answering a question from a reporter asking why he thinks Trump is lying about the storm-relief efforts.,Oct-09,28,23K,705
Art Candee,"Donald Trump wants military aircrafts and vehicles to protect him ahead of the election due to the “Iran threat.” No, Donald Trump wants to go golfing. Donald probably also wants to surround himself with the military so he can stage another coup. Hard pass.",Oct-11,65,7K,746
AesPolitics1,"Economy is better than previously reported. -Roe v. Wade is motivating a lot of people to vote. -Harris is drifting further to the center of the political spectrum. Yeah, I don’t see Trump winning easily at all. I see him losing.",Oct-11,11,5K,463
EssenViews,"Putin cultivated Trump as a “source” to manipulate the US, a former head of the CIA has said. Leon Panetta, who also served as defense secretary under Barack Obama, added that there were “real questions” over Trump’s loyalty to the US because of his relationship with Putin.",Oct-10,6,1.4K,173
WTFGOP,"Holy Fucking shit! Stephen Colbert tonight. “We invited Kamala Harris to be our guest this evening, that interview in a moment. In the interest of fairness, we also invited Donald Trump to go fuck himself.”",Oct-09,67,53K,7K
AesPolitics1,"If Trump loses, it's because of two issues: Economy and Abortion. The economy is getting noticeably better. And the abortion issue is wrecking him.",Oct-11,24,4.6K,554
Christopher Skelly,"To Libertarians who are voting for Trump, why? Do you think he'll keep his promises? Do you think politicians generally keep their promises? Are you simply voting for the “lesser of two evils”?",Oct-11,189,14K,166
Mayo,"Before you vote in November, just remember that Donald Trump killed a million Americans with his mishandling of COVID-19. Now women are dying in red states because of Trump's abortion bans. We won't survive another Trump administration. Vote blue.",Oct-11,122,20K,26K
Molly Ploofkins,What percentage of Trump's MAGA morons would drink the Kool-Aid if he directed them?,Oct-10,1.3K,46K,2.2K
Stu Cameron,"Trump's Sneakers are made in Vietnam, Trump's Bibles are made in China, and Trump's promises are made to Moscow...",Oct-10,321,331K,30K
AB84,I went bankrupt with Biden/Harris. I won Super Bowl with Trump. My story resemble so many others. Striving with Trump. Broke with Biden/Harris. #CTESPN,Oct-10,2.6K,3.2M,56K
WTFGOP,I literally have people freaking out & texting me about all these fucking polls. Polls don't vote! And most are bought & paid for. So sick of this shit.,Oct-11,122,20.3K,"2,836"
Bishop Paul S Morton,As a Black Man I definitely could not support Donald Trump who constantly degrades and insults Blacks and People of Color. Especially our Black Women.,Oct-11,305,23.3K,"3,653"
SANJOSEMAILMAN,"Some hardcore Trump supporters in North Carolina are refusing to accept help from FEMA, believing the lies being told by the right.",Oct-10,115,85K,"4,925"
GoldStarMom,I cast my ballot today for Donald J Trump.,Oct-11,416,74.4K,"6,925"
Aes,Harris keeps overperforming in districts Biden barely won in Pennsylvania. Anyone who says Trump has this election in the bag is delusional.,Oct-10,88,33.9K,"2,416"
John Pavlovitz,A vote for Jill Stein is a vote for Donald Trump. Don't be reckless with other people's lives.,Oct-11,490,20K,"1,514"
Kaivan Shroff,"Again, media is just letting it go that Trump won't release his medical records. If Biden did the same it would be a scandal.",Oct-11,"1,668",29.1K,"1,545"
WTFGOP,DEMOCRATS WE HAVE TO VOTE IN NUMBERS THEY CAN'T IGNORE!,Oct-11,51,"3,702",236
MAYRA Photography,"Donald Trump is desperate to win this election because he knows his freedom depends on it. If we lose this election, we'll lose our freedom.",Oct-11,83,6.4K,41
Tim Walz,"Donald Trump is one of the biggest losers of manufacturing jobs of any American president in history. 280,000 Michigan jobs—gone, 30,000 manufacturing jobs—gone.",Oct-11,4.7K,31K,927K
Ricky Davila,"I still can't get over President Obama saying, ""If Donald Trump does not care that a mob might attack his own Vice President, do you think he cares about you?""",Oct-11,361,26K,1.4K
WTFGOP,"I have to admit, I love angry. I'll punch a motherfucker in the face with facts, Obama.",Oct-11,178,5.5K,862
Steven Beschloss,"Donald Trump is running against a world that doesn't exist: rising crime rates, a cratering stock market, high unemployment, millions of undocumented immigrants voting.",Oct-11,36,3.7K,185K
Pesach Lattin,Kremlin confirms that Donald Trump has been working with Putin for years as a private citizen. This is a crime folks.,Oct-10,185,5.8K,1.4K
MM,MAGA seem overly confident today in their fake poll numbers and false narratives that Trump has this election locked up.,Oct-10,78,7.9K,751
WTFGOP,"We have 28 days to go! All Gas, No Brakes. Bring your friends & family!",Oct-10,153,5.3K,692
Hoodlum,"Trump sent Putin rapid COVID testing machines worth hundreds of thousands of dollars, yet couldn't be bothered to get Paul Whelan released?",Oct-11,194,13.7K,4.1K
